Year,Quarter,Gross Profit
2017,Q3,68255000000
2017,FY,88186000000
2018,Q1,33912000000
2018,Q2,57334000000
2018,Q3,77755000000
2018,FY,101839000000
2019,Q1,32031000000
2019,Q2,53852000000
2019,Q3,74079000000
2019,FY,98392000000
2020,Q1,35217000000
2020,Q2,57587000000
2020,Q3,80267000000
2020,FY,104956000000
2021,Q1,44328000000
2021,Q2,82407000000
2021,Q3,117662000000
2021,FY,152836000000
2022,Q1,54243000000
2010,Q2,12036000000
2010,Q3,18172000000
2010,FY,25684000000
2011,Q1,10298000000
2011,Q2,20516000000
2011,Q3,32438000000
2011,FY,43818000000
2012,Q1,20703000000
2012,Q2,39267000000
2012,Q3,54261000000
2012,FY,68662000000
2013,Q1,21060000000
2013,Q2,37409000000
2013,Q3,50433000000
2013,FY,64304000000
2014,Q1,21846000000
2014,Q2,39793000000
2014,Q3,54528000000
2014,FY,70537000000
2015,Q1,29741000000
2015,Q2,53397000000
2015,Q3,73078000000
2015,FY,93626000000
2016,Q1,30423000000
2016,Q2,50344000000
